prevword,nextword,prevtag,nexttag,class
весь,бой,pronoun,noun,10
картофельный,и,adj,conj,1
овсяный,когда,adj,conj,1
на,в,prep,prep,1
картофельный,быть,adj,verb,1
на,только,prep,adv,1
быть,опять,verb,adv,1
сентябрьский,встречаться,adj,verb,1
-,и,-,conj,1
на,падать,prep,verb,1
по,-,prep,-,1
весь,проскакать,pronoun,verb,1
игра,чудо,noun,noun,2
гороховый,другой,adj,pronoun,1
чёрный,разглядеть,adj,verb,5
в,поиск,prep,noun,5
коммутационный,неблокируемый,adj,adj,5
этот,либеральный,pronoun,adj,4
большой,для,adj,noun,4
чтобы,в,conj,prep,6
минный,теперь,adj,adv,2
футбольный,носиться,adj,verb,2
посередине ,несколько ,adv,pronoun,1
чужой,мало,adj,adv,2
огромный,большой,adj,adj,2
русский,прожить,adj,verb,1
магнитный,например,adj,prep,3
октябрьский,чтобы,adj,conj,1
заснеженный,-,adj,-,2
и,с,conj,prep,1
он,битва,pronoun,noun,2
на,жизнь,prep,noun,1
на,игра,prep,noun,2
семантический,восприятие,adj,noun,4
воспринимаемый ,-,adj,-,4
рефлексивный,сознание ,adj,noun,4
магнитный ,-,adj,-,3
нейтронный ,перспективный,adj,adj,3
изолиния,рельеф,noun,noun,1
возбуждение ,упругий,noun,adj,3
магнитный,солнце ,adj,noun,3
нестационарный,нейтрон,adj,noun,3
теория ,-,noun,-,3
электрический,-,adj,-,3
ослабление,тяговый,noun,adj,3
магнитный,и,adj,conj,3
свой ,не,pronoun,neg,1
в ,семиотический,prep,adj,4
на,сочинение ,prep,noun,6
электромагнитный,-,adj,-,3
карровый,что,adj,conj,1
лес,сад,noun,noun,1
электрический,-,adj,-,3
магнитный,на,adj,prep,3
волны,который,noun,pronoun,3
электрический,-,adj,-,3
физический,связанный,adj,adj,3
магнитный,изменяться,adj,verb,3
магнитный,-,adj,-,3
намагничивающийся ,и,adj,conj,3
наложение,ультразвук,noun,noun,3
магнитный,-,adj,-,3
электрический,протекать,adj,verb,3
магнитный,Н,adj,noun,3
электрический,в,adj,prep,3
напряжённый,в,adj,prep,3
-,Броман,-,noun,4
на,в,prep,prep,6
электрический,об,adj,prep,3
обезьяна,зрение,noun,noun,11
на,прошение,prep,noun,4
магнитный,Земля,adj,noun,3
гравитационный,и,adj,conj,3
орошение,и ,noun,conj,1
понятие,алгебраич.,noun,adj,4
идеальный,для,adj,prep,4
в,зрение,prep,noun,11
гравитационный,который,adj,conj,3
общность,погребальный,noun,adj,2
вне,зрение,adv,noun,11
зелёный,быть,adj,verb,2
в ,мощный,prep,adj,3
-,действие,-,noun,4
на,Куру,prep,noun,2
на,она,prep,pronoun,6
огромный,для,adj,prep,4
публичный,представляться,adj,verb,4
эмоционально-семантический,песня,adj,noun,4
каждый,или,pronoun,conj,4
силовой,теория,adj,noun,4
на ,сражение,prep,noun,2
Кучково,-,noun,-,2
идеальный,а,adj,conj,4
на,бой,prep,noun,10
лётный,звучать,adj,verb,2
клумба,и,noun,conj,1
ментальный,современность,adj,noun,4
с ,жаловаться,prep,verb,2
лётный,-,adj,-,2
половина,Игнашевич,noun,noun,2
голливудский,вряд,adj,adv,4
из,зрение,prep,noun,11
региональный,усмотреть,adj,verb,4
из,зрение,prep,noun,11
футбольный,-,adj,-,2
лётный,признаться,adj,verb,2
комсомольский,он,adj,pronoun,4
на,с,prep,prep,2
сузить,поиск,verb,noun,4
информационный,в,adj,prep,4
на,и,prep,conj,2
русский,индийский,adj,adj,2
-,на,-,prep,1
центр,стараться,noun,verb,2
хозяин ,и,noun,conj,2
видеть,центральный,verb,adj,2
из,он,prep,pronoun,3
Елисейский,работать,adj,verb,2
на,проиграть,prep,verb,2
правовой,-,adj,-,4
на,с,prep,prep,2
свой ,и,pronoun,conj,2
Волотов,разрушенный,noun,adj,1
на,чертёж,prep,noun,6
правовой,предстоять,adj,verb,4
правовой,система,adj,noun,4
центр,что,noun,conj,2
центр,на,noun,prep,2
по ,всё,prep,adj,2
в,заниматься,prep,verb,2
на,появиться,prep,verb,2
на,с,prep,prep,2
свой ,-,pronoun,-,2
на,два,prep,num,2
на,Энфилд,prep,noun,2
оставлять,бой,verb,noun,10
в,зрение,prep,noun,11
на,былой,prep,adj,2
Елисейский,в,adj,prep,2
по,и,prep,conj,1
большой,-,adj,-,1
в,обсевок,prep,noun,1
на,бой,prep,noun,10
свой ,игровой,pronoun,adj,4
футбольный,стадион ,adj,noun,2
во,берёзонька,prep,noun,1
выборный,чтобы,adj,conj,4
раздор ,где,noun,pronoun,4
информационный,кто,adj,pronoun,4
на,бой,prep,noun,10
в,зрение,prep,noun,11
дождливый,заливать,adj,verb,1
чистый,где,adj,pronoun,1
конституционный,-,adj,-,4
налоговый,-,adj,-,4
обширный,идиократический,adj,adj,4
законодательный,принимать,adj,verb,4
же,но,part,prep,2
пустой,на ,adj,prep,1
снежный,до ,adj,prep,2
царица ,-,noun,-,1
в,зрение,prep,noun,11
край,-,noun,-,1
в,под,prep,prep,1
окно,куст,noun,noun,1
стынуть,в,verb,prep,1
бы,и ,part,conj,1
лётный,неподвижно ,adj,adv,2
что,чуточку,conj,adv,7
травянистый,по,adj,prep,1
на,на,prep,prep,1
наш,зрение,pronoun,noun,11
электрический,попадать,adj,verb,3
лес,овраг,noun,noun,1
чистый,на ,adj,prep,1
Высокий,-,adj,-,1
тот,голый,pronoun,adj,1
засеваться,-,verb,-,1
степь,стрекотать,noun,verb,1
бесконечный,заросший,adj,adj,1
с,бой,prep,noun,10
картофельный,и,adj,conj,1
на ,но ,prep,conj,1
не,перейти,neg,verb,1
в,мой,prep,pronoun,11
ухоженный,бой,adj,noun,10
чистый,-,adj,-,1
в,в,prep,prep,1
к,где,prep,pronoun,1
раскинуться,-,verb,-,1
такой,и,pronoun,conj,1
далёкий,в,adj,prep,1
звезда,этот,noun,pronoun,1
крест,гореть,noun,verb,1
кромка,лес,noun,noun,1
магнитный,-,adj,-,3
на,и,prep,conj,2
в,и,prep,conj,1
один,ягода,num ,noun,1
представлять,деятельность,verb,noun,4
